id,text_ch,type,hallu_word
92,背景是一片灰色的天空，为场景增添了阴郁的气氛。,entity,天空
92,他们穿着白色和橙色的服装，头戴白色头盔。,none,none
103,远处可以看到一些船只。,entity,船只
103,一个人坐在海滩上的椅子上，背对着镜头。,none,none
110,其中一个人戴着太阳镜。,entity,太阳镜
110,他们站在一个蓝色的水池里。,none,none
116,有两个人在草地上玩耍。,count,两个
116,左边是一个穿着白色衬衫和黑色裤子的小男孩。,none,none
117,背景是一片广阔的草地，远处有一些树木。,entity,树木
117,有一个小女孩正在草地上奔跑。,none,none
122,桌子上还有一支笔和一个订书机。,entity,订书机
122,一个人坐在一张桌子旁，全神贯注地写着什么。,none,none
124,一个人正在沙丘上滑板。,entity,滑板
124,这个人穿着黑色的衬衫和蓝色的牛仔裤，戴着太阳镜。,none,none
149,这些热气球色彩斑斓，形状各异，有的是圆形的，有的是方形的。,state,方形
149,这张图片展示了一群热气球在天空中飞翔的场景。,none,none
154,背景中可以看到一些模糊的建筑物和树木。,entity,建筑物、树木
154,小孩穿着白色的毛线帽，帽子上有毛球装饰。,none,none
196,这只小鸟站在一根细长的树枝上。,relation,树枝上
196,一只棕色的小鸟正在专心致志地寻找食物。,none,none
198,这只狗面向大海，似乎正在观察海浪。,relation,面向
198,远处可以看到一些岩石。,none,none
214,左边的鸟儿面向图像的右侧，似乎正在观察着什么。,relation,右侧
214,三只鸟儿栖息在一根木头的顶部。,none,none
221,她穿着黑色手套，伸展着身体，试图用脚去接住一个白色的足球。,"entity,state",黑色、脚
221,她的姿势表明她正在进行一场激烈的比赛。,none,none
231,一个木制长椅位于沙滩上，旁边有一个垃圾桶。,entity,垃圾桶
231,背景是广阔的海洋，海浪轻轻拍打着海岸线。,none,none
243,这只猫舒适地躺在米色瓷砖地板上。,action,躺
243,它脖子上戴着一个鲜艳的橙色蝴蝶结。,none,none
288,他的左手戴着红色的手套，右手拿着一个手机。,"entity,state",红色、手机
288,一名男子正在街道上滑板。,none,none
294,她坐在床上，双腿交叉。,"entity,action",坐、腿
294,她的注意力集中在打开的银色笔记本电脑上。,none,none
300,它们都面向同一方向,relation,同一方向
300,有两辆摩托车停在柏油路上,none,none
328,围栏由两根粗壮的木头组成。,count,两根
328,一只白色的羊站在木制围栏后面,none,none
341,它站在一个灰色的人行道上，背景是清澈的蓝天,entity,蓝天
341,一只棕色和白色的斗牛犬正在滑板上滑行。,none,none
371,有两个牙刷和两管牙膏放在一个棕色的台面上,count,两管
371,左边的牙刷是蓝色的，而右边的牙刷是粉红色的。,none,none
393,右边的笔记本电脑关闭并显示一个空白屏幕,"entity,state",关闭、空白屏幕
393,这只狗位于两个笔记本电脑之间,none,none
395,一只鸟被捕捉到在飞行中,action,飞行中
395,在一片翠绿的田野上，一群羊正在悠闲地吃草。,none,none
402,一只猫正站在一个白色的马桶上,action,站
402,它的眼睛是绿色的,none,none
406,它们站在一个白色的盘子上,entity,盘子
406,一只乌鸦正用嘴咬住披萨的一角,none,none
408,有一个男人站在一个有白色瓷砖的浴室里,entity,男人
408,浴室里有两个白色的尿池,none,none
422,前景中有三把蓝色和白色的沙滩椅,count,三把
422,远处可以看到山脉的轮廓。,none,none
427,这个笔记本电脑是打开的,state,打开
427,有一个橙色的水果放在一个银色的笔记本电脑上,none,none
444,两个酒杯都装满了清澈的液体,"entity,state",装满、液体
444,上面放着一瓶葡萄酒和两个酒杯,none,none
449,纸盒里装着四个甜甜圈,count,四个
449,在盒子的右侧，有一个白色的杯子,none,none
461,马的位置稍微偏左,relation,偏左
461,一只棕色马站在草地上,none,none
464,盘子里有各种蔬菜：一个橙色的胡萝卜,count,一个
464,两个绿色的西兰花花蕾和一个红色的番茄,none,none
482,这些蔬菜包括西兰花、胡萝卜和洋葱,entity,胡萝卜
482,左边的部分装满了煮熟的白米饭,none,none
508,一个白色的杯子放在桌子上，里面装满了咖啡。,state,白色
508,在酸奶杯的右边，一把银色的勺子准备使用。,none,none
512,海浪拍打着海岸线，天空是清澈的蓝色,entity,天空
512,一个年轻的女孩正在冲浪板上练习冲浪,none,none
517,在马的后面，有一辆汽车停在道路上,relation,后面
517,马位于道路的左侧，面向右侧。,none,none
551,在碗的右侧，有两个鸡蛋和一个玻璃瓶。,count,两个
551,在台面上，有一个白色的碗，边缘是绿色的。,none,none
555,面包车位于道路的中心，向图像的右侧移动。,"relation,state",中心、右侧
555,这条道路被树木环绕。,none,none
563,这个木柜有两个抽屉。,count,两个
563,一只棕色和黑色的狗舒适地躺在木地板上。,none,none
570,右边的长颈鹿则稍微低一些，似乎正在与树上的鸟儿互动。,entity,鸟儿
570,在一片广阔的草原上，两头长颈鹿优雅地站立着。,none,none
